timestamp        ,path                                 ,name,download (in secs),MB ,min,url
20191001 11:39:37,/home/biadmin/Music/20190521_epcc.mp3,epcc,12                ,39 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190521.mp3
20191001 11:39:50,/home/biadmin/Music/20190523_epcc.mp3,epcc,12                ,39 ,43 ,https://media.deejay.it/legacy/audio/catteland/20190523.mp3
20191001 11:40:03,/home/biadmin/Music/20190524_epcc.mp3,epcc,12                ,40 ,44 ,https://media.deejay.it/legacy/audio/catteland/20190524.mp3
20191001 11:40:16,/home/biadmin/Music/20190527_epcc.mp3,epcc,13                ,43 ,47 ,https://media.deejay.it/legacy/audio/catteland/20190527.mp3
20191001 11:40:30,/home/biadmin/Music/20190528_epcc.mp3,epcc,13                ,42 ,46 ,https://media.deejay.it/legacy/audio/catteland/20190528.mp3
20191001 11:40:44,/home/biadmin/Music/20190529_epcc.mp3,epcc,13                ,43 ,47 ,https://media.deejay.it/legacy/audio/catteland/20190529.mp3
20191001 11:40:57,/home/biadmin/Music/20190530_epcc.mp3,epcc,13                ,43 ,47 ,https://media.deejay.it/legacy/audio/catteland/20190530.mp3
20191001 12:40:21,/home/biadmin/Music/20191001_djci.mp3,djci,25                ,83 ,91 ,https://media.deejay.it/2019/10/01/episodes/deejay_chiama_italia/20191001.mp3
20191001 14:49:46,/home/biadmin/Music/20191001_epcc.mp3,epcc,13                ,42 ,46 ,https://media.deejay.it/2019/10/01/episodes/catteland/20191001.mp3
20191002 10:48:17,/home/biadmin/Music/20191002_cr31.mp3,cr31,24                ,79 ,87 ,https://media.deejay.it/2019/10/02/episodes/chiamate_roma_triuno_triuno/20191002.mp3
20191002 12:21:47,/home/biadmin/Music/20191002_djci.mp3,djci,25                ,83 ,91 ,https://media.deejay.it/2019/10/02/episodes/deejay_chiama_italia/20191002.mp3
20191002 13:45:06,/home/biadmin/Music/20191002_epcc.mp3,epcc,12                ,39 ,43 ,https://media.deejay.it/2019/10/02/episodes/catteland/20191002.mp3
20191003 08:44:01,/home/biadmin/Music/20191002_niki.mp3,niki,9                 ,63 ,69 ,https://media.deejay.it/2019/10/02/episodes/tropical_pizza/20191002.mp3
20191003 15:14:34,/home/biadmin/Music/20191003_cr31.mp3,cr31,7                 ,78 ,85 ,https://media.deejay.it/2019/10/03/episodes/chiamate_roma_triuno_triuno/20191003.mp3
20191003 15:14:42,/home/biadmin/Music/20191003_djci.mp3,djci,7                 ,83 ,91 ,https://media.deejay.it/2019/10/03/episodes/deejay_chiama_italia/20191003.mp3
20191003 15:14:46,/home/biadmin/Music/20191003_epcc.mp3,epcc,4                 ,40 ,44 ,https://media.deejay.it/2019/10/03/episodes/catteland/20191003.mp3
20191004 09:42:44,/home/biadmin/Music/20191003_niki.mp3,niki,9                 ,61 ,67 ,https://media.deejay.it/2019/10/03/episodes/tropical_pizza/20191003.mp3
20191004 09:42:51,/home/biadmin/Music/20191004_cr31.mp3,cr31,7                 ,77 ,84 ,https://media.deejay.it/2019/10/04/episodes/chiamate_roma_triuno_triuno/20191004.mp3
20191004 13:36:30,/home/biadmin/Music/20191004_djci.mp3,djci,7                 ,83 ,90 ,https://media.deejay.it/2019/10/04/episodes/deejay_chiama_italia/20191004.mp3
20191004 13:36:34,/home/biadmin/Music/20191004_epcc.mp3,epcc,3                 ,40 ,44 ,https://media.deejay.it/2019/10/04/episodes/catteland/20191004.mp3
20191004 17:30:38,/home/biadmin/Music/20191004_niki.mp3,niki,7                 ,63 ,68 ,https://media.deejay.it/2019/10/04/episodes/tropical_pizza/20191004.mp3
20191007 09:02:33,/home/biadmin/Music/20191005_djfc.mp3,djfc,6                 ,51 ,56 ,https://media.deejay.it/2019/10/05/episodes/deejay_football_club/20191005.mp3
20191007 09:47:33,/home/biadmin/Music/20191007_cr31.mp3,cr31,8                 ,79 ,87 ,https://media.deejay.it/2019/10/07/episodes/chiamate_roma_triuno_triuno/20191007.mp3
20191007 13:18:59,/home/biadmin/Music/20191007_epcc.mp3,epcc,4                 ,40 ,43 ,https://media.deejay.it/2019/10/07/episodes/catteland/20191007.mp3
20191007 17:25:08,/home/biadmin/Music/20191007_niki.mp3,niki,11                ,66 ,72 ,https://media.deejay.it/2019/10/07/episodes/tropical_pizza/20191007.mp3
20191008 08:46:35,/home/biadmin/Music/20191007_djci.mp3,djci,8                 ,83 ,91 ,https://media.deejay.it/2019/10/07/episodes/deejay_chiama_italia/20191007.mp3
20191008 11:40:27,/home/biadmin/Music/20191008_cr31.mp3,cr31,8                 ,79 ,86 ,https://media.deejay.it/2019/10/08/episodes/chiamate_roma_triuno_triuno/20191008.mp3
20191008 12:55:44,/home/biadmin/Music/20191008_djci.mp3,djci,7                 ,84 ,92 ,https://media.deejay.it/2019/10/08/episodes/deejay_chiama_italia/20191008.mp3
20191008 13:55:58,/home/biadmin/Music/20191008_epcc.mp3,epcc,3                 ,39 ,43 ,https://media.deejay.it/2019/10/08/episodes/catteland/20191008.mp3
20191008 17:25:04,/home/biadmin/Music/20191008_niki.mp3,niki,13                ,66 ,73 ,https://media.deejay.it/2019/10/08/episodes/tropical_pizza/20191008.mp3
20191009 09:17:16,/home/biadmin/Music/20191009_cr31.mp3,cr31,31                ,79 ,87 ,https://media.deejay.it/2019/10/09/episodes/chiamate_roma_triuno_triuno/20191009.mp3
20191009 14:03:24,/home/biadmin/Music/20191009_djci.mp3,djci,25                ,83 ,91 ,https://media.deejay.it/2019/10/09/episodes/deejay_chiama_italia/20191009.mp3
20191009 14:03:36,/home/biadmin/Music/20191009_epcc.mp3,epcc,12                ,40 ,44 ,https://media.deejay.it/2019/10/09/episodes/catteland/20191009.mp3
20191009 18:58:52,/home/biadmin/Music/20191009_niki.mp3,niki,19                ,63 ,69 ,https://media.deejay.it/2019/10/09/episodes/tropical_pizza/20191009.mp3
20191010 14:01:54,/home/biadmin/Music/20191010_djci.mp3,djci,25                ,81 ,89 ,https://media.deejay.it/2019/10/10/episodes/deejay_chiama_italia/20191010.mp3
20191010 15:59:38,/home/biadmin/Music/20191010_epcc.mp3,epcc,11                ,39 ,43 ,https://media.deejay.it/2019/10/10/episodes/catteland/20191010.mp3
20191010 16:43:19,/home/biadmin/Music/20191010_cr31.mp3,cr31,25                ,79 ,87 ,https://media.deejay.it/2019/10/10/episodes/chiamate_roma_triuno_triuno/20191010.mp3
20191010 17:31:25,/home/biadmin/Music/20191010_niki.mp3,niki,19                ,64 ,70 ,https://media.deejay.it/2019/10/10/episodes/tropical_pizza/20191010.mp3
20191011 10:10:58,/home/biadmin/Music/20191011_cr31.mp3,cr31,11                ,80 ,88 ,https://media.deejay.it/2019/10/11/episodes/chiamate_roma_triuno_triuno/20191011.mp3
20191011 12:30:56,/home/biadmin/Music/20191011_djci.mp3,djci,9                 ,85 ,93 ,https://media.deejay.it/2019/10/11/episodes/deejay_chiama_italia/20191011.mp3
20191011 14:39:28,/home/biadmin/Music/20191011_epcc.mp3,epcc,4                 ,40 ,44 ,https://media.deejay.it/2019/10/11/episodes/catteland/20191011.mp3
20191011 17:20:14,/home/biadmin/Music/20191011_niki.mp3,niki,16                ,62 ,68 ,https://media.deejay.it/2019/10/11/episodes/tropical_pizza/20191011.mp3
20191014 09:25:41,/home/biadmin/Music/20191012_djfc.mp3,djfc,16                ,48 ,52 ,https://media.deejay.it/2019/10/12/episodes/deejay_football_club/20191012.mp3
20191014 09:25:55,/home/biadmin/Music/20191013_djtc.mp3,djtc,13                ,43 ,47 ,https://media.deejay.it/2019/10/13/episodes/deejay_training_center/20191013.mp3
20191014 09:26:20,/home/biadmin/Music/20191014_cr31.mp3,cr31,25                ,79 ,87 ,https://media.deejay.it/2019/10/14/episodes/chiamate_roma_triuno_triuno/20191014.mp3
20191014 13:43:13,/home/biadmin/Music/20191014_djci.mp3,djci,26                ,85 ,93 ,https://media.deejay.it/2019/10/14/episodes/deejay_chiama_italia/20191014.mp3
20191014 13:43:26,/home/biadmin/Music/20191014_epcc.mp3,epcc,12                ,41 ,45 ,https://media.deejay.it/2019/10/14/episodes/catteland/20191014.mp3
20191015 08:38:14,/home/biadmin/Music/20191014_niki.mp3,niki,11                ,70 ,77 ,https://media.deejay.it/2019/10/14/episodes/tropical_pizza/20191014.mp3
20191015 12:24:47,/home/biadmin/Music/20191015_cr31.mp3,cr31,10                ,82 ,89 ,https://media.deejay.it/2019/10/15/episodes/chiamate_roma_triuno_triuno/20191015.mp3
20191015 12:24:56,/home/biadmin/Music/20191015_djci.mp3,djci,9                 ,86 ,94 ,https://media.deejay.it/2019/10/15/episodes/deejay_chiama_italia/20191015.mp3
20191015 14:21:15,/home/biadmin/Music/20191015_epcc.mp3,epcc,37                ,43 ,48 ,https://media.deejay.it/2019/10/15/episodes/catteland/20191015.mp3
20191016 09:40:18,/home/biadmin/Music/20191015_niki.mp3,niki,10                ,67 ,73 ,https://media.deejay.it/2019/10/15/episodes/tropical_pizza/20191015.mp3
20191016 09:40:26,/home/biadmin/Music/20191016_cr31.mp3,cr31,7                 ,80 ,87 ,https://media.deejay.it/2019/10/16/episodes/chiamate_roma_triuno_triuno/20191016.mp3
20191016 12:44:50,/home/biadmin/Music/20191016_djci.mp3,djci,12                ,86 ,94 ,https://media.deejay.it/2019/10/16/episodes/deejay_chiama_italia/20191016.mp3
20191016 14:58:59,/home/biadmin/Music/20191016_epcc.mp3,epcc,4                 ,42 ,46 ,https://media.deejay.it/2019/10/16/episodes/catteland/20191016.mp3
20191016 17:21:57,/home/biadmin/Music/20191016_niki.mp3,niki,8                 ,67 ,73 ,https://media.deejay.it/2019/10/16/episodes/tropical_pizza/20191016.mp3
20191017 10:14:52,/home/biadmin/Music/20191017_cr31.mp3,cr31,24                ,80 ,87 ,https://media.deejay.it/2019/10/17/episodes/chiamate_roma_triuno_triuno/20191017.mp3
20191017 14:27:35,/home/biadmin/Music/20191017_djci.mp3,djci,26                ,86 ,95 ,https://media.deejay.it/2019/10/17/episodes/deejay_chiama_italia/20191017.mp3
20191017 14:27:48,/home/biadmin/Music/20191017_epcc.mp3,epcc,12                ,43 ,47 ,https://media.deejay.it/2019/10/17/episodes/catteland/20191017.mp3
20191018 09:54:21,/home/biadmin/Music/20191017_niki.mp3,niki,8                 ,67 ,73 ,https://media.deejay.it/2019/10/17/episodes/tropical_pizza/20191017.mp3
20191018 09:54:29,/home/biadmin/Music/20191018_cr31.mp3,cr31,7                 ,80 ,88 ,https://media.deejay.it/2019/10/18/episodes/chiamate_roma_triuno_triuno/20191018.mp3
20191018 12:29:08,/home/biadmin/Music/20191018_djci.mp3,djci,9                 ,86 ,94 ,https://media.deejay.it/2019/10/18/episodes/deejay_chiama_italia/20191018.mp3
20191018 14:46:35,/home/biadmin/Music/20191018_epcc.mp3,epcc,4                 ,41 ,45 ,https://media.deejay.it/2019/10/18/episodes/catteland/20191018.mp3
20191018 17:16:36,/home/biadmin/Music/20191018_niki.mp3,niki,8                 ,65 ,71 ,https://media.deejay.it/2019/10/18/episodes/tropical_pizza/20191018.mp3
20191021 08:52:53,/home/biadmin/Music/20191019_djfc.mp3,djfc,7                 ,54 ,59 ,https://media.deejay.it/2019/10/19/episodes/deejay_football_club/20191019.mp3
20191021 08:52:59,/home/biadmin/Music/20191020_djtc.mp3,djtc,5                 ,40 ,44 ,https://media.deejay.it/2019/10/20/episodes/deejay_training_center/20191020.mp3
20191021 13:31:29,/home/biadmin/Music/20191021_cr31.mp3,cr31,11                ,85 ,93 ,https://media.deejay.it/2019/10/21/episodes/chiamate_roma_triuno_triuno/20191021.mp3
20191021 13:31:41,/home/biadmin/Music/20191021_djci.mp3,djci,12                ,91 ,100,https://media.deejay.it/2019/10/21/episodes/deejay_chiama_italia/20191021.mp3
20191021 13:31:48,/home/biadmin/Music/20191021_epcc.mp3,epcc,6                 ,44 ,48 ,https://media.deejay.it/2019/10/21/episodes/catteland/20191021.mp3
20191022 08:48:47,/home/biadmin/Music/20191021_niki.mp3,niki,9                 ,75 ,82 ,https://media.deejay.it/2019/10/21/episodes/tropical_pizza/20191021.mp3
20191022 11:18:54,/home/biadmin/Music/20191022_cr31.mp3,cr31,8                 ,84 ,92 ,https://media.deejay.it/2019/10/22/episodes/chiamate_roma_triuno_triuno/20191022.mp3
20191022 12:40:13,/home/biadmin/Music/20191022_djci.mp3,djci,9                 ,91 ,99 ,https://media.deejay.it/2019/10/22/episodes/deejay_chiama_italia/20191022.mp3
20191022 15:18:32,/home/biadmin/Music/20191022_epcc.mp3,epcc,5                 ,43 ,47 ,https://media.deejay.it/2019/10/22/episodes/catteland/20191022.mp3
20191023 09:37:40,/home/biadmin/Music/20191022_niki.mp3,niki,21                ,72 ,79 ,https://media.deejay.it/2019/10/22/episodes/tropical_pizza/20191022.mp3
20191023 09:37:51,/home/biadmin/Music/20191023_cr31.mp3,cr31,10                ,82 ,90 ,https://media.deejay.it/2019/10/23/episodes/chiamate_roma_triuno_triuno/20191023.mp3
20191023 15:15:51,/home/biadmin/Music/20191023_djci.mp3,djci,13                ,86 ,94 ,https://media.deejay.it/2019/10/23/episodes/deejay_chiama_italia/20191023.mp3
20191023 15:15:58,/home/biadmin/Music/20191023_epcc.mp3,epcc,7                 ,44 ,48 ,https://media.deejay.it/2019/10/23/episodes/catteland/20191023.mp3
20191024 14:14:16,/home/biadmin/Music/20191023_niki.mp3,niki,23                ,70 ,77 ,https://media.deejay.it/2019/10/23/episodes/tropical_pizza/20191023.mp3
20191024 14:14:30,/home/biadmin/Music/20191024_cr31.mp3,cr31,14                ,82 ,89 ,https://media.deejay.it/2019/10/24/episodes/chiamate_roma_triuno_triuno/20191024.mp3
20191024 14:14:45,/home/biadmin/Music/20191024_djci.mp3,djci,15                ,86 ,95 ,https://media.deejay.it/2019/10/24/episodes/deejay_chiama_italia/20191024.mp3
20191024 14:14:55,/home/biadmin/Music/20191024_epcc.mp3,epcc,10                ,42 ,46 ,https://media.deejay.it/2019/10/24/episodes/catteland/20191024.mp3
20191024 17:21:39,/home/biadmin/Music/20191024_niki.mp3,niki,14                ,67 ,73 ,https://media.deejay.it/2019/10/24/episodes/tropical_pizza/20191024.mp3
20191025 10:18:40,/home/biadmin/Music/20191025_cr31.mp3,cr31,14                ,84 ,92 ,https://media.deejay.it/2019/10/25/episodes/chiamate_roma_triuno_triuno/20191025.mp3
20191025 12:29:17,/home/biadmin/Music/20191025_djci.mp3,djci,15                ,86 ,94 ,https://media.deejay.it/2019/10/25/episodes/deejay_chiama_italia/20191025.mp3
20191025 14:23:36,/home/biadmin/Music/20191025_epcc.mp3,epcc,9                 ,42 ,46 ,https://media.deejay.it/2019/10/25/episodes/catteland/20191025.mp3
20191025 17:27:26,/home/biadmin/Music/20191025_niki.mp3,niki,13                ,67 ,73 ,https://media.deejay.it/2019/10/25/episodes/tropical_pizza/20191025.mp3
